CustomerID,Recency,Frequency,Monetary,AvgBasketValue,DistinctProducts,TenureDays,CancellationRate,FirstPurchase,IsSyntheticOutlier,AnomalyScore
12346,326.0,2.0,0.01,0.01,1.0,0.0,0.5,2011-01-18 10:01:00,0,0.7118314161510467
12347,2.0,7.0,4310.0,615.7142857142857,103.0,365.0,0.0,2010-12-07 14:57:00,0,0.4503568286408015
12348,75.0,4.0,1797.24,449.31,22.0,282.0,0.0,2010-12-16 19:09:00,0,0.42395412548230865
12349,19.0,1.0,1757.55,1757.55,73.0,0.0,0.0,2011-11-21 09:51:00,0,0.4758608977926542
12350,310.0,1.0,334.4,334.4,17.0,0.0,0.0,2011-02-02 16:01:00,0,0.4162219950164461
12352,36.0,11.0,1545.41,140.4918181818182,59.0,260.0,0.1052631578947368,2011-02-16 12:33:00,0,0.4631495390579884
12353,204.0,1.0,89.0,89.0,4.0,0.0,0.0,2011-05-19 17:47:00,0,0.4512175930576596
12354,232.0,1.0,1079.4,1079.4,58.0,0.0,0.0,2011-04-21 13:11:00,0,0.4791514613770735
12355,214.0,1.0,459.4,459.4,13.0,0.0,0.0,2011-05-09 13:49:00,0,0.41329063980057856
12356,23.0,3.0,2811.43,937.1433333333332,53.0,302.0,0.0,2011-01-18 09:50:00,0,0.44008810150523725
12357,33.0,1.0,6207.67,6207.67,131.0,0.0,0.0,2011-11-06 16:07:00,0,0.5352186403043759
12358,2.0,2.0,1168.06,584.03,13.0,149.0,0.0,2011-07-12 10:04:00,0,0.428641065322133
12359,8.0,6.0,6245.53,1040.9216666666666,214.0,323.0,0.0236220472440944,2011-01-12 12:43:00,0,0.4911735734952335
12360,52.0,3.0,2662.06,887.3533333333334,105.0,148.0,0.0,2011-05-23 09:43:00,0,0.43656928448961385
12361,287.0,1.0,189.9,189.9,10.0,0.0,0.0,2011-02-25 13:51:00,0,0.4124737359749855
12362,3.0,13.0,5154.58,396.5061538461538,201.0,292.0,0.0291970802919708,2011-02-17 10:30:00,0,0.4520802839957244
12363,110.0,2.0,552.0,276.0,23.0,132.0,0.0,2011-04-11 13:29:00,0,0.39950476589384487
12364,8.0,4.0,1313.1,328.275,70.0,104.0,0.0,2011-08-19 15:24:00,0,0.395873168337642
12365,291.0,3.0,320.69,106.89666666666666,22.0,0.0,0.0434782608695652,2011-02-21 13:51:00,0,0.46759387956932835
12367,4.0,1.0,168.9,168.9,11.0,0.0,0.0,2011-12-05 16:48:00,0,0.40329074405477516
12370,51.0,4.0,3545.69,886.4225,143.0,309.0,0.0,2010-12-14 12:58:00,0,0.4521671168313715
12371,45.0,2.0,1887.96,943.98,63.0,14.0,0.0,2011-10-11 10:43:00,0,0.4384939883216745
12372,72.0,3.0,1298.04,432.68,34.0,224.0,0.0,2011-02-16 12:46:00,0,0.3977375884127532
12373,311.0,1.0,364.6,364.6,14.0,0.0,0.0,2011-02-01 13:10:00,0,0.4214542424947354
12374,25.0,1.0,742.9300000000001,742.9300000000001,33.0,0.0,0.0,2011-11-14 15:37:00,0,0.4192212377980517
12375,3.0,3.0,455.42,151.80666666666667,14.0,95.0,0.0555555555555555,2011-09-02 14:23:00,0,0.42951464697620567
12377,315.0,2.0,1628.12,814.06,72.0,39.0,0.0,2010-12-20 09:37:00,0,0.5147431795767999
12378,130.0,1.0,4008.62,4008.62,219.0,0.0,0.0,2011-08-02 10:34:00,0,0.5445159569945515
12379,82.0,3.0,850.29,283.43,39.0,88.0,0.024390243902439,2011-06-22 16:32:00,0,0.4034710757075423
12380,22.0,5.0,2720.56,544.112,77.0,164.0,0.0095238095238095,2011-06-07 09:49:00,0,0.4119229214696363
12381,5.0,6.0,1803.96,300.66,70.0,115.0,0.0439560439560439,2011-08-12 09:57:00,0,0.423818917270918
12383,185.0,6.0,1839.31,306.5516666666667,84.0,167.0,0.01,2010-12-22 14:28:00,0,0.4578982879307455
12384,29.0,3.0,566.16,188.72,26.0,92.0,0.1,2011-08-10 11:23:00,0,0.4235148067441622
12386,338.0,2.0,401.9,200.95,10.0,29.0,0.0,2010-12-08 09:53:00,0,0.47596557600022527
12388,16.0,6.0,2780.66,463.4433333333333,57.0,311.0,0.0,2011-01-17 11:12:00,0,0.4136184302551235
12390,80.0,1.0,549.84,549.84,32.0,0.0,0.0,2011-09-21 09:33:00,0,0.3964034687917014
12391,22.0,1.0,460.89,460.89,92.0,0.0,0.0,2011-11-18 12:07:00,0,0.4215617225577508
12393,72.0,4.0,1582.6,395.65,47.0,260.0,0.0,2011-01-11 09:47:00,0,0.4017108105023665
12394,64.0,2.0,1272.48,636.24,26.0,153.0,0.0,2011-05-06 14:01:00,0,0.402940816656621
12395,16.0,15.0,2998.28,199.8853333333333,91.0,355.0,0.0188679245283018,2010-12-03 16:35:00,0,0.4381225823872856
12397,36.0,2.0,2409.9,1204.95,110.0,99.0,0.0,2011-07-27 14:21:00,0,0.4556224357076813
12398,46.0,1.0,1635.66,1635.66,85.0,0.0,0.0,2011-10-25 10:27:00,0,0.46699948663632634
12399,119.0,4.0,1108.65,277.1625,47.0,142.0,0.0,2011-03-23 09:42:00,0,0.4045130425466766
12401,303.0,1.0,84.3,84.3,5.0,0.0,0.0,2011-02-09 13:50:00,0,0.4672590310317416
12402,323.0,1.0,225.6,225.6,11.0,0.0,0.0,2011-01-20 13:49:00,0,0.42629786070721243
12403,50.0,2.0,409.7,204.85,5.0,0.0,0.1666666666666666,2011-10-21 10:51:00,0,0.49114066933483586
12405,149.0,1.0,1710.39,1710.39,54.0,0.0,0.0,2011-07-14 08:52:00,0,0.47584464071464627
12406,22.0,3.0,3280.75,1093.5833333333333,92.0,161.0,0.0277777777777777,2011-06-09 10:23:00,0,0.4604404389060222
12407,50.0,5.0,1708.12,341.624,57.0,214.0,0.0,2011-03-20 13:21:00,0,0.39232862250618056
