CustomerID,EarlyFrequency,EarlyMonetary,EarlyAvgBasketValue,EarlyDistinctProducts,EarlyCancellationRate,Monetary,IsHighValue
12347,2,1187.18,593.59,49,0.0,4310.0,1
12348,2,1120.24,560.12,18,0.0,1797.24,0
12352,8,601.1800000000001,75.14750000000001,26,0.20833333333333334,1545.41,0
12356,2,2753.08,1376.54,53,0.0,2811.43,1
12358,1,484.86,484.86,12,0.0,1168.06,0
12359,2,2386.41,1193.205,93,0.0,6245.53,1
12360,2,1618.28,809.14,63,0.0,2662.06,0
12362,3,969.4399999999999,323.14666666666665,52,0.034482758620689655,5154.58,1
12363,1,299.1,299.1,16,0.0,552.0,0
12364,3,1002.78,334.26,47,0.0,1313.1,0
12370,3,2806.41,935.4699999999999,125,0.0,3545.69,1
12372,2,914.9200000000001,457.46000000000004,32,0.0,1298.04,0
12375,2,457.5,228.75,14,0.0,455.42,0
12380,1,607.5500000000001,607.5500000000001,36,0.0,2720.56,0
12381,5,1656.95,331.39,67,0.047619047619047616,1803.96,0
12383,4,1597.7,399.425,75,0.011904761904761904,1839.31,0
12384,2,273.58000000000004,136.79000000000002,14,0.17647058823529413,566.16,0
12388,3,766.25,255.41666666666666,23,0.0,2780.66,1
12393,3,1061.1000000000001,353.70000000000005,33,0.0,1582.6000000000001,0
12394,1,381.08,381.08,21,0.0,1272.48,0
12395,5,893.63,178.726,41,0.0425531914893617,2998.28,1
12397,1,1214.81,1214.81,70,0.0,2409.9,0
12399,3,899.03,299.6766666666667,37,0.0,1108.65,0
12406,2,1486.7,743.35,48,0.057692307692307696,3280.75,1
12407,2,495.96,247.98,23,0.0,1708.1200000000001,0
12408,5,1462.44,292.488,58,0.08450704225352113,2842.57,1
12409,2,6202.13,3101.065,64,0.015384615384615385,11056.93,1
12412,2,890.74,445.37,34,0.0,1226.88,0
12413,3,415.3,138.43333333333334,24,0.07692307692307693,694.15,0
12414,2,396.56,198.28,11,0.0,562.41,0
12415,6,38024.04,6337.34,154,0.009950248756218905,123725.45,1
12417,5,974.43,194.886,43,0.09803921568627451,3578.8,1
12421,1,157.45,157.45,11,0.0,806.27,0
12422,1,238.5,238.5,13,0.0,803.5600000000001,0
12423,3,777.59,259.19666666666666,47,0.0,1849.11,0
12427,2,246.55,123.275,10,0.23076923076923078,708.37,0
12428,8,6236.2300000000005,779.5287500000001,228,0.020833333333333332,7877.2,1
12429,1,1281.5,1281.5,20,0.0,3750.4,1
12431,5,2211.28,442.25600000000003,79,0.0,6416.39,1
12432,3,4016.66,1338.8866666666665,75,0.0,5059.32,1
12433,2,3787.12,1893.56,79,0.0,13375.87,1
12434,1,-27.75,-27.75,3,1.0,765.19,0
12435,1,3978.9900000000002,3978.9900000000002,19,0.0,7829.89,1
12437,6,1075.9199999999998,179.31999999999996,38,0.02127659574468085,4896.66,1
12438,1,890.0699999999999,890.0699999999999,49,0.0,2906.85,1
12444,3,3189.81,1063.27,107,0.0,5005.46,1
12449,2,1636.88,818.44,71,0.0,4067.29,1
12451,1,2919.5099999999998,2919.5099999999998,101,0.0,8933.52,1
12455,2,1698.9,849.45,42,0.0,2466.86,0
12456,1,940.1700000000001,940.1700000000001,41,0.0,3153.89,1
12457,5,842.35,168.47,23,0.07407407407407407,1917.78,0
12458,1,441.92,441.92,19,0.0,947.4,0
12462,2,741.3100000000001,370.65500000000003,40,0.09090909090909091,1124.01,0
12463,5,974.39,194.878,51,0.046875,1303.63,0
12464,2,363.84999999999997,181.92499999999998,6,0.0,1212.05,0
12465,1,440.94,440.94,26,0.0,733.89,0
12468,1,220.59,220.59,12,0.0,724.0400000000001,0
12471,15,5338.36,355.8906666666666,65,0.24161073825503357,18740.92,1
12472,4,2239.43,559.8575,103,0.20567375886524822,6229.48,1
12473,4,1109.79,277.4475,60,0.1095890410958904,2848.23,1
12474,6,844.13,140.68833333333333,41,0.09433962264150944,7116.47,1
12476,6,664.58,110.76333333333334,30,0.18421052631578946,6546.58,1
12477,3,4572.77,1524.256666666667,98,0.018018018018018018,13117.01,1
12480,2,1587.27,793.635,67,0.0,3281.63,1
12481,3,1394.43,464.81,41,0.0,5590.86,1
12483,2,507.56,253.78,13,0.07142857142857142,2327.13,0
12484,2,1102.17,551.085,98,0.0297029702970297,4495.27,1
12490,1,864.22,864.22,43,0.0,5417.93,1
12494,7,281.5,40.214285714285715,18,0.16666666666666666,1139.3500000000001,0
12500,4,1210.2,302.55,9,0.0,4206.27,1
12502,2,1320.05,660.025,55,0.0,3723.87,1
12507,1,446.16,446.16,13,0.0,1258.06,0
