CustomerID,Cluster
12346,1
12347,0
12348,0
12349,2
12350,1
12352,0
12353,1
12354,1
12355,1
12356,0
12357,2
12358,2
12359,0
12360,0
12361,1
12362,0
12363,2
12364,2
12365,1
12367,2
12370,0
12371,2
12372,0
12373,1
12374,2
12375,2
12377,1
12378,2
12379,2
12380,0
12381,2
12383,0
12384,2
12386,1
12388,0
12390,2
12391,2
12393,0
12394,2
12395,0
12397,2
12398,2
12399,2
12401,1
12402,1
12403,2
12405,2
12406,0
12407,0
12408,0
12409,2
12410,1
12412,2
12413,0
12414,1
12415,0
12417,0
12418,2
12420,2
12421,0
12422,0
12423,0
12424,2
12425,2
12426,1
12427,0
12428,0
12429,0
12430,2
12431,0
12432,2
12433,0
12434,0
12435,0
12436,2
12437,0
12438,2
12441,1
12442,2
12444,0
12445,2
12446,2
12447,1
12448,2
12449,0
12450,1
12451,0
12452,2
12453,2
12454,2
12455,0
12456,0
12457,0
12458,0
12461,2
12462,0
12463,0
12464,0
12465,0
12468,2
12471,0
12472,0
12473,0
12474,0
12475,2
12476,0
12477,0
12478,2
12479,2
12480,0
12481,0
12483,0
12484,0
12488,2
12489,1
12490,0
12491,2
12492,2
12493,1
12494,0
12497,2
12498,2
12500,0
12501,1
12502,0
12503,1
12504,2
12505,1
12506,1
12507,2
12508,2
12509,1
12510,2
12512,2
12513,2
12514,1
12515,1
12516,2
12517,0
12518,2
12519,2
12520,0
12521,2
12522,2
12523,0
12524,0
12526,2
12527,0
12528,0
12530,0
12531,2
12532,2
12534,2
12535,2
12536,2
12538,2
12539,0
12540,0
12541,0
12544,2
12545,0
12546,2
12547,1
12548,1
12550,2
12551,1
12552,2
12553,0
12556,2
12557,0
12558,2
12559,1
12560,2
12561,1
12562,0
12564,1
12565,1
12566,2
12567,0
12569,0
12571,2
12572,2
12573,1
12574,1
12576,0
12577,0
12578,0
12579,2
12580,1
12581,2
12582,1
12583,0
12584,0
12585,1
12586,0
12587,2
12588,2
12589,2
12590,2
12591,1
12592,2
12593,2
12594,0
12596,0
12597,0
12598,0
12599,0
12600,0
12601,1
12602,2
12603,2
12604,2
12605,1
12607,2
12609,0
12610,2
12611,2
12612,2
12613,0
12614,1
12615,0
12616,0
12617,2
12618,2
12619,0
12620,0
12621,0
12622,1
12623,1
12624,2
12625,1
12626,0
12627,0
12628,2
12630,2
12631,2
12633,0
12635,2
12637,0
12638,2
12639,1
12640,2
12641,2
12642,2
12643,0
12644,2
12645,0
12646,2
12647,0
12648,2
12649,0
12650,2
12651,1
12652,1
12653,2
12654,0
12656,0
12657,2
12658,2
12659,2
12660,2
12662,0
12664,0
12665,1
12666,1
12667,2
12668,0
12669,2
12670,0
12672,1
12673,0
12674,0
12676,0
12678,0
12679,0
12680,2
12681,0
12682,0
12683,0
12684,0
12685,2
12686,1
12688,2
12689,2
12690,1
12691,0
12693,0
12694,2
12695,0
12697,2
12700,0
12701,2
12702,2
12703,2
12704,0
12705,0
12707,1
12708,0
12709,0
12710,2
12712,0
12713,2
12714,0
12715,2
12716,2
12717,2
12718,2
12719,2
12720,0
12721,0
12722,2
12723,2
12724,0
12725,1
12726,0
12727,0
12728,0
12729,2
12731,0
12732,1
12733,1
12734,1
12735,1
12736,1
12738,1
12739,2
12740,2
12743,2
12744,0
12747,0
12748,0
12749,0
12750,2
12752,2
12753,0
12754,1
12755,1
12756,2
12757,0
12758,2
12759,0
12762,2
12763,0
12764,1
12766,0
12769,1
12770,1
12772,2
12775,0
12778,0
12779,0
12781,0
12782,0
12783,2
12784,2
12785,0
12787,0
12789,2
12790,1
12791,1
12792,1
12793,1
12794,2
12795,2
12797,1
12798,2
12802,1
12808,0
12809,1
12811,1
12812,2
12814,2
12815,2
12816,2
12817,1
12818,1
12820,0
12821,1
12822,2
12823,0
12824,2
12826,0
12827,2
12828,2
12829,1
12830,2
12831,1
12832,2
12833,2
12834,1
12836,0
12837,1
12838,0
12839,0
12840,2
12841,0
12842,0
12843,0
12844,2
12845,1
12847,2
12849,0
12851,2
12852,1
12853,0
12854,0
12855,1
12856,2
12857,1
12863,2
12864,1
12865,0
12866,1
12867,0
12868,0
12870,1
12871,2
12872,1
12873,1
12875,2
12876,2
12877,0
12878,0
12879,2
12881,1
12882,2
12883,2
12884,2
12885,2
12886,2
12888,1
12890,2
12891,1
12893,2
12895,2
12897,1
12901,0
12902,1
12904,2
12906,2
12908,0
12909,0
12910,0
12912,2
12913,0
12915,0
12916,0
12917,2
12919,0
12920,2
12921,0
12922,2
12923,2
12924,0
12925,2
12928,0
12929,2
12930,2
12931,0
12933,0
12935,0
12936,2
12937,0
12938,2
12939,0
12940,2
12942,0
12943,1
12944,0
12945,1
12947,0
12948,0
12949,0
12950,2
12951,0
12952,2
12953,2
12955,0
12956,1
12957,0
12962,2
12963,0
12965,2
12966,2
12967,0
12968,2
12970,0
12971,0
12974,1
12976,1
12977,1
12980,0
12981,2
12982,1
12984,2
12985,2
12987,2
12988,1
12989,0
12990,0
12991,2
12993,0
12994,0
12995,2
12997,0
12999,1
13000,0
13001,0
13002,1
13003,2
13004,0
13005,1
13006,2
13008,1
13011,1
13012,0
13013,0
13014,0
13015,0
13016,2
13017,2
13018,0
13021,0
13023,2
13026,0
13027,0
13028,2
13029,0
13030,0
13032,2
13033,1
13034,0
13035,0
13037,2
13038,0
13040,2
13043,1
13044,1
13045,2
13046,0
13047,0
13048,0
13049,0
13050,0
13052,1
13055,2
13058,2
13059,1
13060,1
13061,2
13062,1
13064,0
13065,1
13066,2
13067,2
13068,0
13069,0
13070,1
13072,1
13075,2
13077,0
13078,0
13079,2
13080,1
13081,0
13082,0
13083,2
13085,2
13089,0
13090,0
13091,2
13092,0
13093,1
13094,0
13095,2
13097,0
13098,0
13099,2
13101,1
13102,0
13103,2
13104,0
13106,1
13107,0
13108,1
13109,0
13110,0
13113,0
13115,0
13116,2
13117,0
13118,0
13120,1
13121,1
13122,2
13124,0
13126,0
13127,2
13130,2
13131,0
13132,1
13133,1
13134,0
13135,1
13136,0
13137,0
13138,0
13139,0
13140,0
13141,0
13142,2
13144,1
13145,0
13146,2
13147,2
13148,0
13149,0
13151,1
13153,2
13154,1
13155,0
13157,0
13158,0
13159,2
13160,2
13161,1
13162,0
13165,0
13166,1
13167,2
13168,0
13169,2
13170,2
13171,0
13173,0
13174,0
13176,2
13177,2
13178,0
13182,2
13183,0
13184,0
13185,1
13186,2
13187,1
13188,2
13189,2
13192,2
13193,2
13194,1
13196,0
13198,0
13199,0
13200,2
13203,0
13207,2
13208,0
13209,0
13210,2
13211,0
13212,2
13213,0
13216,1
13217,2
13218,2
13220,2
13221,1
13223,1
13224,2
13225,0
13226,1
13227,1
13228,2
13229,1
13230,0
13232,0
13233,0
13235,1
13236,2
13238,0
13239,1
13240,0
13242,2
13243,1
13244,2
13245,2
13246,0
13247,2
13248,2
13249,2
13253,2
13255,0
13258,0
13259,2
13260,2
13261,1
13262,1
13263,0
13265,0
13266,0
13267,0
13268,0
13269,0
13270,1
13271,2
13272,2
13273,2
13276,2
13277,2
13278,2
13279,2
13280,0
13282,0
13283,2
13284,1
13285,0
13291,2
13292,0
13294,1
13295,1
13296,1
13297,2
13298,2
13299,1
13300,1
13301,0
13302,1
13304,1
13305,0
13307,1
13308,0
13309,0
13310,0
13311,2
13313,0
13314,2
13316,0
13317,0
13318,2
13319,0
13320,0
13321,2
13322,2
13323,2
13324,0
13325,2
13327,0
13328,1
13329,0
13330,0
13332,2
13334,0
13336,2
13338,1
13339,1
13340,0
13341,1
13343,1
13344,0
13345,1
13347,2
13348,2
13349,2
13350,2
13351,2
13352,2
13354,2
13355,2
13356,2
13357,1
13358,1
13359,2
13362,0
13363,2
13364,2
13365,0
13366,2
13368,1
13369,1
13370,1
13372,2
13373,0
13375,2
13376,2
13379,2
13381,0
13382,1
13384,0
13385,1
13388,2
13389,0
13390,2
13391,1
13394,0
13395,1
13396,0
13397,0
13398,1
13402,0
13403,2
13404,0
13405,0
13408,0
13410,0
13411,2
13414,2
13416,2
13417,0
13418,0
13419,2
13420,2
13421,0
13422,2
13425,0
13426,0
13427,0
13428,2
13429,2
13430,2
13431,2
13434,2
13435,0
13436,2
13437,0
13439,1
13441,2
13447,2
13448,0
13449,2
13450,0
13451,0
13452,1
13453,2
13455,0
13456,0
13458,0
13460,2
13461,2
13462,1
13464,2
13466,2
13467,2
13468,0
13470,2
13471,2
13473,0
13474,1
13475,1
13476,2
13477,0
13479,1
13481,0
13482,1
13483,2
13484,1
13485,1
13486,2
13487,0
13488,0
13489,0
13491,0
13492,2
13493,1
13494,1
13495,0
13496,0
13497,1
13499,0
13500,2
13501,1
13502,0
13503,2
13504,2
13505,0
13506,1
13507,0
13508,1
13509,0
13510,0
13512,1
13513,2
13514,2
13515,0
13516,0
13517,2
13518,2
13519,2
13520,0
13521,2
13522,2
13523,0
13524,0
13525,0
13527,0
13529,2
13531,1
13532,2
13533,1
13534,0
13536,2
13538,0
13539,0
13544,0
13546,0
13548,2
13549,0
13551,1
13552,0
13555,2
13557,0
13558,2
13560,2
13561,1
13562,0
13563,2
13564,0
13565,0
13566,2
13568,1
13569,0
13570,1
13571,0
13572,1
13573,0
13575,2
13576,0
13577,0
13579,0
13581,1
13583,2
13584,1
13587,2
13588,0
13589,2
13590,0
13591,0
13592,0
13593,0
13594,2
13596,2
13598,2
13599,0
13600,1
13601,0
13602,2
13603,2
13606,0
13607,2
13610,0
13611,0
13614,0
13615,1
13617,2
13618,1
13621,2
13623,0
13626,1
13627,0
13629,0
13630,0
13631,0
13632,0
13634,0
13635,2
13636,0
13637,0
13638,2
13639,2
13642,1
13643,2
13644,2
13645,2
13647,0
13649,1
13650,0
13651,2
13652,0
13654,0
13655,2
13656,2
13657,0
13658,0
13659,1
13662,0
13663,1
13666,0
13667,2
13668,0
13669,2
13670,2
13672,1
13673,2
13675,2
13678,2
13680,0
13681,2
13682,1
13684,1
13685,2
13686,1
13689,2
13690,2
13692,0
13693,1
13694,0
13695,0
13697,2
13699,1
13700,0
13703,1
13704,2
13705,0
13706,1
13707,1
13708,1
13709,0
13710,2
13711,1
13712,1
13715,1
13716,1
13717,0
13718,1
13719,0
13720,2
13721,2
13722,0
13723,1
13725,0
13726,2
13727,2
13728,0
13730,2
13731,1
13732,2
13735,0
13736,0
13737,1
13739,2
13740,1
13741,2
13742,0
13743,0
13744,0
13745,2
13747,1
13748,0
13750,0
13751,1
13752,2
13753,1
13754,2
13755,2
13756,0
13758,0
13759,2
13760,0
13761,2
13762,1
13763,2
13764,0
13767,0
13769,0
13771,0
13772,0
13774,2
13777,0
13778,2
13780,2
13781,1
13782,0
13784,0
13786,1
13787,0
13790,2
13791,2
13792,0
13798,0
13799,2
13800,1
13801,2
13802,0
13803,1
13804,0
13805,2
13806,2
13807,1
13808,2
13809,1
13810,2
13811,1
13812,2
13813,2
13814,2
13815,0
13816,2
13817,0
13819,1
13821,2
13822,2
13823,2
13824,0
13826,1
13827,2
13828,2
13829,1
13831,0
13832,2
13833,2
13835,0
13837,1
13838,0
13841,1
13842,0
13844,2
13845,2
13846,0
13848,0
13849,2
13850,2
13851,0
13853,2
13854,0
13856,1
13858,2
13859,1
13860,2
13862,0
13863,1
13865,0
13866,2
13867,0
13868,2
13869,0
13870,0
13871,0
13873,0
13874,1
13875,0
13876,2
13877,2
13878,2
13880,0
13881,0
13882,2
13883,0
13884,0
13885,1
13886,2
13887,1
13888,2
13889,2
13890,0
13892,0
13893,1
13894,0
13895,0
13897,2
13898,1
13899,0
13900,1
13901,0
13904,0
13908,0
13911,0
13914,2
13917,2
13918,0
13919,2
13922,1
13923,2
13924,2
13925,2
13926,2
13927,2
13928,2
13929,1
13930,2
13931,0
13932,1
13933,2
13934,1
13936,1
13937,1
13938,2
13939,0
13940,2
13941,0
13946,0
13947,2
13948,1
13949,2
13950,0
13951,2
13952,1
13953,0
13954,2
13955,2
13956,0
13958,1
13959,0
13960,2
13962,0
13963,1
13967,1
13969,0
13971,0
13972,2
13973,1
13974,2
13975,0
13976,1
13978,2
13979,2
13980,2
13982,0
13983,0
13984,0
13985,0
13986,2
13988,0
13989,2
13990,1
13991,2
13992,2
13993,0
13994,0
13995,0
13999,0
14000,1
14001,0
14002,2
14004,0
14005,0
14006,0
14009,1
14012,1
14013,2
14014,2
14015,2
14016,0
14019,2
14020,2
14021,2
14022,1
14023,0
14024,2
14027,2
